"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GADD45G",0.292512615929188,7.27019383414892,2.80228035499332,0.00606023856427036,0.015431546036949,-3.17144822555308
"EIF1B",-0.121852889286789,10.6347394752325,-2.80131587471906,0.00607707764949088,0.0154700245083571,-3.1739597670518
"TNIP3",0.970650751495904,9.78177032643904,2.80099745829128,0.00608264633721918,0.0154797989360783,-3.17478877217052
"SNRPD3",0.13070938497442,10.8543289085251,2.80072660709063,0.00608738684100952,0.015487460752361,-3.17549387643182
"PCBP2",-0.146149365735173,12.3178172624665,-2.80031167321855,0.00609465566279192,0.0155015489059591,-3.17657395629179
"GABBR1",-0.352169153074115,7.45911684311634,-2.79949353596906,0.00610901105235875,0.0155336483816438,-3.1787031792727
"TASP1",0.140381000967952,7.97627032218407,2.79927601071441,0.00611283304029714,0.0155383359610518,-3.17926920448233
"ETS1",-0.324734947084928,8.7093229398729,-2.7991910935255,0.00611432565517542,0.0155383359610518,-3.17949015833384
"CTNNAL1",0.14451790425187,8.94312822336382,2.79709060195247,0.00615135278652083,0.0156279970197846,-3.18495379073753
"NDUFA13",0.144714911599305,11.0101532787453,2.79691260832789,0.00615449982613554,0.015628401424442,-3.18541661196654
"PEX1",0.185058219175048,8.41109355337778,2.79688414711955,0.00615500317464342,0.015628401424442,-3.18549061481018
"CNOT1",0.220490072570426,8.22857592964752,2.79663648986056,0.00615938468576417,0.0156350924558113,-3.18613452862801
"TXN2",0.138319297591712,9.57683502301835,2.796486239316,0.00616204428205264,0.0156374099935423,-3.18652515920259
"RAD23B",-0.107685308969148,11.387820662398,-2.79578941188297,0.00617439259851473,0.0156643063005107,-3.18833657847478
"MTMR14",-0.104357499142537,9.13971154345563,-2.79565285710427,0.00617681510133875,0.0156660129184946,-3.18869151044164
"CDC42EP3",-0.191493942620904,8.42232329700547,-2.79444279000587,0.00619831984587469,0.0157161024016188,-3.1918360561406
"PCNA",0.166663147057218,10.4812346332545,2.79292231988743,0.00622543787688155,0.0157803922173614,-3.19578557567938
"BMP2K",-0.260691765799478,6.67990690802918,-2.79245879578752,0.00623372649329305,0.0157969298880421,-3.19698924260465
